dist_type,hist_type,num_bins,num_correct,num_correct_prop
l2,rg,10,52,0.5842696629213483
l2,rg,30,39,0.4382022471910113
l2,rg,50,31,0.34831460674157305
l2,rgb,10,54,0.6067415730337079
l2,rgb,30,34,0.3820224719101124
l2,rgb,50,30,0.33707865168539325
l2,grayvalue,10,39,0.4382022471910113
l2,grayvalue,30,36,0.4044943820224719
l2,grayvalue,50,31,0.34831460674157305
l2,dxdy,10,39,0.4382022471910113
l2,dxdy,30,39,0.4382022471910113
l2,dxdy,50,38,0.42696629213483145
intersect,rg,10,62,0.6966292134831461
intersect,rg,30,65,0.7303370786516854
intersect,rg,50,65,0.7303370786516854
intersect,rgb,10,70,0.7865168539325843
intersect,rgb,30,72,0.8089887640449438
intersect,rgb,50,70,0.7865168539325843
intersect,grayvalue,10,45,0.5056179775280899
intersect,grayvalue,30,45,0.5056179775280899
intersect,grayvalue,50,45,0.5056179775280899
intersect,dxdy,10,60,0.6741573033707865
intersect,dxdy,30,57,0.6404494382022472
intersect,dxdy,50,59,0.6629213483146067
chi2,rg,10,53,0.5955056179775281
chi2,rg,30,42,0.4719101123595506
chi2,rg,50,35,0.39325842696629215
chi2,rgb,10,60,0.6741573033707865
chi2,rgb,30,38,0.42696629213483145
chi2,rgb,50,30,0.33707865168539325
chi2,grayvalue,10,42,0.4719101123595506
chi2,grayvalue,30,38,0.42696629213483145
chi2,grayvalue,50,33,0.3707865168539326
chi2,dxdy,10,40,0.44943820224719105
chi2,dxdy,30,40,0.44943820224719105
chi2,dxdy,50,38,0.42696629213483145
